gamma,strategy,mean_profit,std_profit,mean_final_q,std_final_q,n_paths,negative_delta_pct,bernoulli_violation_pct,constant_spread,half_spread
0.01,inventory_const,67.81920257725987,8.907808515185897,-0.111,5.079614304401613,1000.0,0.0,0.0,1.3289085437337158,0.6644542718668579
0.01,symmetric_const,68.80272943738433,13.76581238324677,0.212,8.732084820093384,1000.0,0.0,0.0,1.3289085437337158,0.6644542718668579
0.1,inventory_const,63.99066078574518,6.082370185174911,-0.002,2.8872707410861786,1000.0,81.5,7.9,1.2907704227514236,0.6453852113757117
0.1,symmetric_const,68.42655823666384,13.589241103532036,0.359,8.710338052509156,1000.0,0.0,0.0,1.2907704227514236,0.6453852113757117
0.5,inventory_const,24.301784736674687,5.058843660998869,0.024,1.9398936020274893,1000.0,100.0,100.0,1.1507282898071236,0.5753641449035618
0.5,symmetric_const,68.56907500640632,13.527217011964586,-0.476,9.410844169785621,1000.0,0.0,0.0,1.1507282898071236,0.5753641449035618
