gamma,strategy,mean_profit,std_profit,mean_final_q,std_final_q,n_paths,negative_delta_pct,bernoulli_violation_pct,initial_full_spread,constant_term
0.01,inventory_full,68.45099406804398,8.940438105733813,0.029,5.07226644478451,1000.0,0.0,0.0,1.3689085437337158,1.3289085437337158
0.01,symmetric_full,69.25940859217984,13.546709709075154,0.256,8.859286142288832,1000.0,0.0,0.0,1.3689085437337158,1.3289085437337158
0.1,inventory_full,64.7543664918517,6.381734766624783,0.097,2.942490314215027,1000.0,17.8,3.5999999999999996,1.6907704227514238,1.2907704227514236
0.1,symmetric_full,67.65078234754375,13.3196032517653,-0.357,8.461864697225675,1000.0,0.0,0.0,1.6907704227514238,1.2907704227514236
0.5,inventory_full,48.53889061407388,5.92983409965202,-0.014,1.9353422306014896,1000.0,100.0,99.9,3.1507282898071236,1.1507282898071236
0.5,symmetric_full,58.95019414691729,11.448945054216464,0.321,7.245443772154709,1000.0,0.0,0.0,3.1507282898071236,1.1507282898071236
